Heuristic
(.venv) E:\Khoa hoc\USTH\Machine Learning\Source\task-assignment-robotic-warehouse>python scripts/run_heuristic.py --num_episodes=10 --seed=0 --render
Completed Episode 5: | [Overall Pick Rate=15.84]| [Global return=10.70]| [Total shelf deliveries=11.00]| [Total clashes=79.00]| [Total stuck=8.00] | [FPS = 379.30]
Completed Episode 6: | [Overall Pick Rate=24.48]| [Global return=17.60]| [Total shelf deliveries=17.00]| [Total clashes=51.00]| [Total stuck=6.00] | [FPS = 369.94]
Completed Episode 7: | [Overall Pick Rate=20.16]| [Global return=14.40]| [Total shelf deliveries=14.00]| [Total clashes=55.00]| [Total stuck=7.00] | [FPS = 380.74]
Completed Episode 8: | [Overall Pick Rate=21.60]| [Global return=15.70]| [Total shelf deliveries=15.00]| [Total clashes=51.00]| [Total stuck=4.00] | [FPS = 383.53]
Completed Episode 9: | [Overall Pick Rate=18.72]| [Global return=13.20]| [Total shelf deliveries=13.00]| [Total clashes=120.00]| [Total stuck=12.00] | [FPS = 390.63]
Completed Episode 10: | [Overall Pick Rate=25.92]| [Global return=19.30]| [Total shelf deliveries=18.00]| [Total clashes=54.00]| [Total stuck=7.00] | [FPS = 382.60]
Completed Episode 11: | [Overall Pick Rate=21.60]| [Global return=15.50]| [Total shelf deliveries=15.00]| [Total clashes=76.00]| [Total stuck=6.00] | [FPS = 375.27]
Completed Episode 12: | [Overall Pick Rate=23.04]| [Global return=16.70]| [Total shelf deliveries=16.00]| [Total clashes=62.00]| [Total stuck=7.00] | [FPS = 390.43]
Completed Episode 13: | [Overall Pick Rate=20.16]| [Global return=14.70]| [Total shelf deliveries=14.00]| [Total clashes=65.00]| [Total stuck=6.00] | [FPS = 369.79]
Completed Episode 14: | [Overall Pick Rate=21.60]| [Global return=15.80]| [Total shelf deliveries=15.00]| [Total clashes=61.00]| [Total stuck=8.00] | [FPS = 378.55]
Completed Episode 15: | [Overall Pick Rate=18.72]| [Global return=13.20]| [Total shelf deliveries=13.00]| [Total clashes=133.00]| [Total stuck=17.00] | [FPS = 377.87]
Completed Episode 16: | [Overall Pick Rate=18.72]| [Global return=13.60]| [Total shelf deliveries=13.00]| [Total clashes=42.00]| [Total stuck=5.00] | [FPS = 389.31]
Completed Episode 17: | [Overall Pick Rate=18.72]| [Global return=13.20]| [Total shelf deliveries=13.00]| [Total clashes=82.00]| [Total stuck=7.00] | [FPS = 392.29]
Completed Episode 18: | [Overall Pick Rate=17.28]| [Global return=12.10]| [Total shelf deliveries=12.00]| [Total clashes=97.00]| [Total stuck=9.00] | [FPS = 377.74]
Completed Episode 19: | [Overall Pick Rate=18.72]| [Global return=13.50]| [Total shelf deliveries=13.00]| [Total clashes=79.00]| [Total stuck=7.00] | [FPS = 374.40]

MAPPO_NS lần 2 (lần 1 chạy loạn)
Completed Episode 0: | [Overall Pick Rate=21.60]| [Global return=15.60]| [Total shelf deliveries=15.00]| [Total clashes=44.00]| [Total stuck=6.00] | [FPS = 5.84]
Completed Episode 0: | [Overall Pick Rate=17.28]| [Global return=12.20]| [Total shelf deliveries=12.00]| [Total clashes=61.00]| [Total stuck=6.00] | [FPS = 316.88]
Completed Episode 1: | [Overall Pick Rate=23.04]| [Global return=16.80]| [Total shelf deliveries=16.00]| [Total clashes=69.00]| [Total stuck=6.00] | [FPS = 368.08]
Completed Episode 2: | [Overall Pick Rate=20.16]| [Global return=14.80]| [Total shelf deliveries=14.00]| [Total clashes=69.00]| [Total stuck=6.00] | [FPS = 380.75]
Completed Episode 3: | [Overall Pick Rate=23.04]| [Global return=16.90]| [Total shelf deliveries=16.00]| [Total clashes=88.00]| [Total stuck=7.00] | [FPS = 361.58]
Completed Episode 4: | [Overall Pick Rate=23.04]| [Global return=16.90]| [Total shelf deliveries=16.00]| [Total clashes=40.00]| [Total stuck=3.00] | [FPS = 349.36]
